Unique Identifier,Description,Start Date,End Date,Reasonable Worst Case,Estimated Expected Loss,Probability,Crystallised to Date,Premium Agreed,Premiums to Date,Category,Type of Beneficiary,Sector of Beneficiary,Sector of Risk,Cross Sector Trigger,Reported As,Reporting Category,Notes,Status,Department,FYE,Group, el_lower , el_mid , el_upper ,prob_lower,prob_mid,prob_upper,Beneficiary,el_minus_sens,el_plus_sens, el_lower-1 , el_mid-1 , el_upper-1 , el_lower+1 , el_mid+1 , el_upper+1 ,Duration(Years),Future Duration(Years), Cashflow_lower , Cashflow_mid , Cashflow_upper , PAME 
524,"The Blight Contract requires Heathrow Airport Ltd to pay for homes (on request of the home owner) blighted by the SoS's decision to designate the Airports National Policy Statement. Without this contract the SoS would be obliged to purchase the land. The SoS will be liable for any such costs if the agreement with Heathrow Airport Limited was for some reason ineffective at transferring liability. On 16 December 2020, the Supreme Court determined that the ANPS is lawful and reinstated the ANPS. DfT has communicated both verbally and in writing to HAL that the Blight Agreement has full legal effect. HAL does not dispute this although it questioned some of its liabilities under the Blight Agreement, following pending the outcome of a review by the CAA on what can be charged to the RAB, a  point that DfT did not consider to be linked. CAA confirmed in April 2021 statutory liabilities from the blight contract could continue to be reclaimed through passenger and other airport charges under the terms of their H6 resettlement offer as permitted by the CAA's licencing and regulation of the airport leading to the Airport re-engaging under the terms of the Blight contract.
 ",2018-06-01,2026-06-01,"£750,000,000.00",£100m to £500m,10% to 25%,0,No,0,Legal Case or Other Dispute Process - Legal Case,Individual or Household,Individual or Household,Section L,No Exposure to Listed Risks,Unquantifiable,Non-remote Core,,Ongoing,F,2023,Core," £100,000,000.00 "," £300,000,000.00 "," £500,000,000.00 ",0.1,0.175,0.25,Private,£50m to £100m,£100m to £500m," £50,000,000.00 "," £75,000,000.00 "," £100,000,000.00 "," £100,000,000.00 "," £300,000,000.00 "," £500,000,000.00 ",8,3.17," £31,546,000.00 "," £94,637,000.00 "," £157,729,000.00 "," £131,250,000.00 "
525,"Indemnity for Mr Geoffrey Podger in his role as UK HoD to IGC for damages and legal costs incurred in the exercise of his functions in relation to liabilities incurred or proceedings brought in any jurisdiction, whether in the UK, France or anywhere else in the world. This will cover legal representation, costs and civil liabilities. ",2018-09-01,2025-12-01,"£1,000,000.00",< £1m,< 1%,0,No,0,Indemnity - Appointment Indemnity,Individual or Household,Individual or Household,Section H,Widespread Loss of Life,Unquantifiable,Remote Core,,Ongoing,F,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",7.25,2.67, £-   ," £187,000.00 "," £375,000.00 "," £5,000.00 "
526,"S54 Prior to commencement of the Feb 2004 SSWT trains franchise agreement, 733 Desiro vehicles were ordered.  The DfT undertook to Angel Trains that any successor operator would take over the lease, facility and service agreement. This CL is for Class 444 Desiro - 225 vehicles

Linked to the S54 on Northam depot - the maintenance is carried out by Siemens as part of the Desiro S54 undertakings which is why the rolling stock lease and the maintenance facilities are all underwritten.",2001-01-01,2025-04-23,"£101,325,000.00",£10m to £50m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Non-financial Corporation,Section H,Section H,No Exposure to Listed Risks,Quantifiable,Remote Core,,Ongoing,F,2023,Core," £10,000,000.00 "," £30,000,000.00 "," £50,000,000.00 ",0,0.005,0.01,Private,£5m to £10m,£10m to £50m," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 "," £10,000,000.00 "," £30,000,000.00 "," £50,000,000.00 ",24.31,2.06," £4,854,000.00 "," £14,563,000.00 "," £24,272,000.00 "," £506,625.00 "
527,S54 The DfT undertook to HSBC Rail that any successor operator would take over the lease & facilities agreement for Northam depot until expiry of the 20 year lease in 2025.  The undertaking will not operate in the event of operator default.,2003-04-01,2025-04-01,"£5,400,000.00",£1m to £5m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section K,Section H,No Exposure to Listed Risks,Quantifiable,Remote Core,,Ongoing,F,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0,0.005,0.01,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",22,2," £500,000.00 "," £1,500,000.00 "," £2,500,000.00 "," £27,000.00 "
528,"S54 Prior to commencement of the Feb 2004 South West Trains franchise agreement, 733 Desiro vehicles were ordered. The DfT undertook to Angel Trains that any successor operator would take over the lease. This CL is for Class 450 Desiro - 508 vehicles.",2012-03-28,2025-04-23,"£72,500,000.00",£5m to £10m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Non-financial Corporation,Section H,Section H,No Exposure to Listed Risks,Quantifiable,Remote Core,,Ongoing,F,2023,Core," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",0,0.005,0.01,Private,£1m to £5m,£5m to £10m," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 "," £5,000,000.00 "," £7,500,000.00 "," £10,000,000.00 ",13.07,2.06," £2,427,000.00 "," £3,641,000.00 "," £4,854,000.00 "," £362,500.00 "
529,"S54 15 Years from delivery of the final unit. 2/5 units delivered to date, 2 vehicles per unit. First  units delivered 01-Nov-21, remaining delivered in the qtr.",2021-11-16,2036-11-01,"£6,600,000.00",£1m to £5m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Non-financial Corporation,Section H,Section H,No Exposure to Listed Risks,Quantifiable,Remote Core,,Ongoing,F,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0,0.005,0.01,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",14.96,13.59," £74,000.00 "," £221,000.00 "," £368,000.00 "," £33,000.00 "
530,"Channel Tunnel Act 1987 Sec 29 Scheme for land on abandonment of construction or operation.
(1)Where on or at any time after the expiry or termination of the Concession it appears to the Secretary of State that the construction or operation of the tunnel system will not be resumed in the near future, the Secretary of State shall notify the district planning authority of that fact and, after consultation with them, shall make in relation to any land on which work has been done under this Act a scheme for putting it into such a condition as the scheme may provide and shall put it into such a condition in accordance with the scheme.
(2)A scheme under this section may be revoked or varied by a subsequent scheme made under this section by the Secretary of State after consultation with the district planning authority.",1994-01-01,2055-03-31,"£90,000,000.00",< £1m,< 1%,0,No,0,Uncertain Cost - Uncertain Cost,Local Government,Section H,Section H,Major Economic or Financial Downturn,Unquantifiable,Remote Core,Reasonable Worst Case: [Elizabeth Dobson] This quantification assumes a scenario in which the Eurotunnel operator fails but is replaced by a new one (rather than returning the site to its previous condition). The costs are therefore those required to transition to the new operator e.g. legal costs.,Ongoing,F,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Public,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",61.24,32, £-   ," £16,000.00 "," £31,000.00 "," £450,000.00 "
531,"S54 - Prior to commencement of the May 2003 South Central (now part of TSGN) Franchise Agreement, 700 class 377/4 Electrostar vehicles were ordered.  The DfT undertook to Porterbrook that any successor operator would take over the lease, the MSA & the TSSSA.  A further 48 vehicles were ordered in Feb 07 and the undertaking was extended to cover them in July 2010 a further undertaking was given to Porterbrook until 2023 to cover an additional 44 vehicles. Total undertaking is now 792 vehicles.",2006-12-01,2023-05-01,£0.00,< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Non-financial Corporation,Section H,Section H,No Exposure to Listed Risks,Quantifiable,Remote Core,,Ongoing,F,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",16.41,0.08, £-   ," £6,250,000.00 "," £12,500,000.00 ", £-   
532,"S54 - Refinancing Selhurst, Brighton, Bognor Regis, Littlehampton, Eastbourne and Streatham Hill depots, which were procured to allow maintenance to be carried out on Mark 1 replacement rolling stock for Southern (now part of TSGN). The depots are owned by DepCo (owned and financed by Abbey National Treasury Services plc) and leased to Govia, the TSGN franchisee.  The head leases are for a term of up to 32 years. As the TSGN franchise term is shorter than that, the DfT has given DepCo an undertaking that it will ensure that the replacement franchisee leases the depots on equivalent terms (or that the DfT will take up the leases on those terms).",2002-04-01,2035-05-31,"£123,000,000.00",£1m to £5m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Non-financial Corporation,Section H,Section H,No Exposure to Listed Risks,Quantifiable,Remote Core,,Ongoing,F,2023,Core," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",0,0.005,0.01,Private,< £1m,£1m to £5m, £-   ," £500,000.00 "," £1,000,000.00 "," £1,000,000.00 "," £3,000,000.00 "," £5,000,000.00 ",33.16,12.16," £82,000.00 "," £247,000.00 "," £411,000.00 "," £615,000.00 "
533,"All three ROSCOs were given and Environmental Deed of Indemnity i.r.o. 
This risk is in relation to the EX BR trains which were sold to the ROSCOs. This is a reducing risk and the majority of older trains will be off the Network by the Mid 2020€™s.",1995-04-01,2029-12-31,"£12,400,000.00",< £1m,< 1%,0,No,0,Indemnity - Procurement Indemnity,Private Financial Corporation,Section K,Section H,Increased Legal Liability Costs,Unquantifiable,Remote Core,,Ongoing,F,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0,0.005,0.01,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",34.75,6.75, £-   ," £74,000.00 "," £148,000.00 "," £62,000.00 "
534,Legal case against Department for Disability Discrimination,2021-10-01,,"£50,000.00",< £1m,25% to 50%,0,No,0,Legal Case or Other Dispute Process - Legal Case,Individual or Household,Individual or Household,Mixed,Increased Legal Liability Costs,,Non-remote Core,,Ongoing,F,2023,Core, £-   ," £500,000.00 "," £1,000,000.00 ",0.25,0.375,0.5,Private,< £1m,< £1m, £-   ," £500,000.00 "," £1,000,000.00 ", £-   ," £500,000.00 "," £1,000,000.00 ",78.25,76.75, £-   ," £7,000.00 "," £13,000.00 "," £18,750.00 "
535,"Under the HS1 Concession Agreement the SoS is liable to pay a Default / non-Default Termination Compensation Amount following an occurrence of either an HMG fault event or a non-fault event. E.g.  HMG fault includes full sequestration / nationalisation of assets and Adverse Change in Law as well as HMG repudiatory breach. Non-fault events include competition law rulings and unavailability of insurance €“ basically things that are not anyone's fault, but which would stop HS1 operation.",2010-06-01,2038-04-01,"£4,196,000,000.00",> £500m,< 1%,0,No,0,Indemnity - Fault Indemnity,Private Non-financial Corporation,Mixed,Mixed,No Exposure to Listed Risks,Quantifiable,Remote Core,"Termination of HS1 concession due to i) action by UK Government causing concession to no longer be operable, including Adverse Changes in Law; or ii) non-default situations that are HMG liability such as unavailability of insurance; but for clarity there is no contingent liability on HS1 Ltd default.",Ongoing,F,2023,Core," £500,000,000.00 "," £1,250,000,000.00 "," £2,000,000,000.00 ",0,0.005,0.01,Private,£100m to £500m,> £500m," £100,000,000.00 "," £300,000,000.00 "," £500,000,000.00 "," £500,000,000.00 "," £1,250,000,000.00 "," £2,000,000,000.00 ",27.83,15," £33,333,000.00 "," £83,333,000.00 "," £133,333,000.00 "," £20,980,000.00 "
